; CSV, generated by libsigrok4DSL 0.2.0 on Wed Apr 17 14:33:03 2019
; Channels (3/16)
; Sample rate: 1 MHz
; Sample count: 9.562816M Samples
Time(s), 0: RX, 1: TX, 2: DE
1.90995,0,1,0
1.910054,1,1,0
1.910157,0,1,0
1.910262,1,1,0
1.910365,0,1,0
1.910574,1,1,0
1.910677,0,1,0
1.910782,1,1,0
1.910989,0,1,0
1.911926,1,1,0
1.912029,0,1,0
1.91255,1,1,0
1.912653,0,1,0
1.912966,1,1,0
1.913069,0,1,0
1.913694,1,1,0
1.913902,0,1,0
1.914006,1,1,0
1.914109,0,1,0
1.914422,1,1,0
1.914525,0,1,0
1.915046,1,1,0
1.915149,0,1,0
1.915254,1,1,0
1.915357,0,1,0
1.916086,1,1,0
1.916189,0,1,0
1.916294,1,1,0
1.917231,0,1,0
1.917438,1,1,0
1.917541,0,1,0
1.918167,1,1,0
1.91827,0,1,0
1.918375,1,1,0
1.918478,0,1,0
1.918687,1,1,0
1.918894,0,1,0
1.919207,1,1,0
1.922176,0,1,0
1.92228,1,1,0
1.923216,0,1,0
1.924152,1,1,0
1.924257,0,1,0
1.924361,1,1,0
1.925297,0,1,0
1.925401,1,1,0
1.925505,0,1,0
1.925609,1,1,0
1.925713,0,1,0
1.925921,1,1,0
1.926025,0,1,0
1.926129,1,1,0
1.926337,0,1,0
1.927273,1,1,0
1.927377,0,1,0
1.928001,1,1,0
1.928209,0,1,0
1.928313,1,1,0
1.928417,0,1,0
1.928937,1,1,0
1.929041,0,1,0
1.929353,1,1,0
1.929457,0,1,0
1.929666,1,1,0
1.929874,0,1,0
1.930394,1,1,0
1.930498,0,1,0
1.930602,1,1,0
1.930706,0,1,0
1.931434,1,1,0
1.931538,0,1,0
1.931746,1,1,0
1.93185,0,1,0
1.931954,1,1,0
1.932058,0,1,0
1.932474,1,1,0
1.932578,0,1,0
1.932682,1,1,0
1.932786,0,1,0
1.933514,1,1,0
1.933618,0,1,0
1.933826,1,1,0
1.934034,0,1,0
1.934242,1,1,0
1.934346,0,1,0
1.934554,1,1,0
1.934659,0,1,0
1.934672,1,1,0
1.946875,0,1,0
1.946977,1,1,0
1.947913,0,1,0
1.948849,1,1,0
1.948952,0,1,0
1.949057,1,1,0
1.949993,0,1,0
1.950097,1,1,0
1.9502,0,1,0
1.950305,1,1,0
1.950408,0,1,0
1.950617,1,1,0
1.95072,0,1,0
1.950825,1,1,0
1.951032,0,1,0
1.951969,1,1,0
1.952072,0,1,0
1.952593,1,1,0
1.952696,0,1,0
1.953009,1,1,0
1.953112,0,1,0
1.953737,1,1,0
1.953945,0,1,0
1.954049,1,1,0
1.954152,0,1,0
1.954361,1,1,0
1.954569,0,1,0
1.955089,1,1,0
1.955192,0,1,0
1.955297,1,1,0
1.9554,0,1,0
1.956129,1,1,0
1.956232,0,1,0
1.956441,1,1,0
1.956544,0,1,0
1.956649,1,1,0
1.956752,0,1,0
1.957169,1,1,0
1.957272,0,1,0
1.957377,1,1,0
1.95748,0,1,0
1.958209,1,1,0
1.958312,0,1,0
1.958521,1,1,0
1.958729,0,1,0
1.958938,1,1,0
1.959041,0,1,0
1.95925,1,1,0
1.962536,0,1,0
1.96264,1,1,0
1.963576,0,1,0
1.964512,1,1,0
1.964616,0,1,0
1.96472,1,1,0
1.965656,0,1,0
1.96576,1,1,0
1.965864,0,1,0
1.965968,1,1,0
1.966072,0,1,0
1.96628,1,1,0
1.966384,0,1,0
1.966488,1,1,0
1.966696,0,1,0
1.967632,1,1,0
1.967736,0,1,0
1.968361,1,1,0
1.968569,0,1,0
1.968673,1,1,0
1.968777,0,1,0
1.969297,1,1,0
1.969401,0,1,0
1.969713,1,1,0
1.969817,0,1,0
1.969921,1,1,0
1.970025,0,1,0
1.970753,1,1,0
1.970857,0,1,0
1.971169,1,1,0
1.971273,0,1,0
1.971793,1,1,0
1.971897,0,1,0
1.972105,1,1,0
1.972209,0,1,0
1.972833,1,1,0
1.972937,0,1,0
1.97325,1,1,0
1.973354,0,1,0
1.973666,1,1,0
1.973978,0,1,0
1.974394,1,1,0
1.974498,0,1,0
1.974914,1,1,0
1.975018,0,1,0
1.975226,1,1,0
1.97533,0,1,0
1.975434,1,1,0
1.975538,0,1,0
1.975746,1,1,0
1.976058,0,1,0
1.976266,1,1,0
1.97637,0,1,0
1.976994,1,1,0
1.977098,0,1,0
1.977306,1,1,0
1.97741,0,1,0
1.977618,1,1,0
1.977826,0,1,0
1.97793,1,1,0
1.978139,0,1,0
1.978152,1,1,0
1.988062,0,1,0
1.988164,1,1,0
1.9891,0,1,0
1.990036,1,1,0
1.990139,0,1,0
1.990244,1,1,0
1.99118,0,1,0
1.991284,1,1,0
1.991387,0,1,0
1.991492,1,1,0
1.991595,0,1,0
1.991804,1,1,0
1.991907,0,1,0
1.992012,1,1,0
1.992219,0,1,0
1.993156,1,1,0
1.993259,0,1,0
1.99378,1,1,0
1.993883,0,1,0
1.994196,1,1,0
1.994299,0,1,0
1.994924,1,1,0
1.995132,0,1,0
1.995236,1,1,0
1.995339,0,1,0
1.995444,1,1,0
1.995547,0,1,0
1.996276,1,1,0
1.996379,0,1,0
1.996588,1,1,0
1.996691,0,1,0
1.997316,1,1,0
1.997419,0,1,0
1.997836,1,1,0
1.997939,0,1,0
1.998356,1,1,0
1.998459,0,1,0
1.998668,1,1,0
1.998771,0,1,0
1.998876,1,1,0
1.998979,0,1,0
1.999188,1,1,0
1.9995,0,1,0
1.999604,1,1,0
1.999707,0,1,0
2.000437,1,1,0
2.00054,0,1,0
2.000749,1,1,0
2.000852,0,1,0
2.000957,1,1,0
2.00106,0,1,0
2.001165,1,1,0
3.589082,0,1,0
3.589186,1,1,0
3.590123,0,1,0
3.591059,1,1,0
3.591163,0,1,0
3.591267,1,1,0
3.592203,0,1,0
3.592307,1,1,0
3.592411,0,1,0
3.592515,1,1,0
