ID,Time[s],1:UART: RX/TX
759,9.14491,Start bit
760,9.14502,[D2]
761,9.14585,Stop bit
762,9.14595,Start bit
763,9.14606,[02]
764,9.14689,Stop bit
765,9.14699,Start bit
766,9.1471,[EA]
767,9.14793,Stop bit
768,9.14804,Start bit
769,9.14814,[FF]
770,9.14897,Stop bit
771,9.44719,Start bit
772,9.4473,[FF]
773,9.44813,Stop bit
774,9.44823,Start bit
775,9.44834,[00]
776,9.44917,Stop bit
777,9.44927,Start bit
778,9.44938,[FF]
779,9.45021,Stop bit
780,9.45031,Start bit
781,9.45042,[A5]
782,9.45125,Stop bit
783,9.45135,Start bit
784,9.45146,[00]
785,9.45229,Stop bit
786,9.45239,Start bit
787,9.4525,`
788,9.45333,Stop bit
789,9.45343,Start bit
790,9.45354,[10]
791,9.45437,Stop bit
792,9.45448,Start bit
793,9.45458,[04]
794,9.45541,Stop bit
795,9.45552,Start bit
796,9.45562,[01]
797,9.45645,Stop bit
798,9.45655,Start bit
799,9.45666,[FF]
800,9.45749,Stop bit
801,9.45759,Start bit
802,9.4577,[02]
803,9.45853,Stop bit
804,9.45864,Start bit
805,9.45874,[19]
806,9.45957,Stop bit
807,9.45968,Start bit
808,9.45978,[FF]
809,9.46061,Stop bit
810,9.47184,Start bit
811,9.47194,[FF]
812,9.47277,Stop bit
813,9.47287,Start bit
814,9.47298,[00]
815,9.47381,Stop bit
816,9.47391,Start bit
817,9.47401,[FF]
818,9.47485,Stop bit
819,9.47495,Start bit
820,9.47506,[A5]
821,9.47589,Stop bit
822,9.47599,Start bit
823,9.47609,[00]
824,9.47693,Stop bit
825,9.47703,Start bit
826,9.47713,[10]
827,9.47797,Stop bit
828,9.47807,Start bit
829,9.47818,`
830,9.47901,Stop bit
831,9.47911,Start bit
832,9.47921,[04]
833,9.48005,Stop bit
834,9.48015,Start bit
835,9.48025,[01]
836,9.48109,Stop bit
837,9.48119,Start bit
838,9.48129,[FF]
839,9.48213,Stop bit
840,9.48223,Start bit
841,9.48234,[02]
842,9.48317,Stop bit
843,9.48327,Start bit
844,9.48337,[19]
845,9.48421,Stop bit
846,9.48724,Start bit
847,9.48734,[FF]
848,9.48818,Stop bit
849,9.48828,Start bit
850,9.48838,[00]
851,9.48922,Stop bit
852,9.48932,Start bit
853,9.48942,[FF]
854,9.49026,Stop bit
855,9.49036,Start bit
856,9.49047,[A5]
857,9.4913,Stop bit
858,9.4914,Start bit
859,9.49151,[00]
860,9.49234,Stop bit
861,9.49244,Start bit
862,9.49255,`
863,9.49338,Stop bit
864,9.49348,Start bit
865,9.49359,[10]
866,9.49442,Stop bit
867,9.49452,Start bit
868,9.49463,[06]
869,9.49546,Stop bit
870,9.49556,Start bit
871,9.49567,[01]
872,9.4965,Stop bit
873,9.4966,Start bit
874,9.49671,[04]
875,9.49754,Stop bit
876,9.49764,Start bit
877,9.49775,[01]
878,9.49858,Stop bit
879,9.49868,Start bit
880,9.49879, 
881,9.49962,Stop bit
882,9.49972,Start bit
883,9.49983,[FF]
884,9.50066,Stop bit
885,9.51188,Start bit
886,9.51198,[FF]
887,9.51281,Stop bit
888,9.51291,Start bit
